refrigerant,Te_C,COP,q_e_Jkg,Qdot_kW_fixed_mdot,w_comp_Jkg
R1243zf,-24.0,2.413995361482889,133722.66059917325,1.3372266059917326,55394.74629190215
R1243zf,-22.0,2.5459558202372605,135087.2582146903,1.350872582146903,53059.5453153234
R1243zf,-20.0,2.687914804621976,136451.01588564567,1.3645101588564565,50764.63571353257
R1243zf,-18.0,2.8410020207325952,137813.57782925662,1.3781357782925663,48508.79261033377
R1243zf,-16.0,3.006524477164422,139174.58054120504,1.3917458054120504,46290.85231079388
R1243zf,-14.0,3.1860026747576726,140533.6517239087,1.405336517239087,44109.70927216741
R1243zf,-12.0,3.38121603702055,141890.40917030282,1.4189040917030284,41964.31331709091
R1243zf,-10.0,3.59426045622261,143244.4596011186,1.4324445960111862,39853.66707443941
R1243zf,-8.0,3.827621899925132,144595.39745252926,1.4459539745252925,37776.823634371394
R1243zf,-6.0,4.084271562145334,145942.8036098222,1.4594280360982221,35732.88440525811
R1243zf,-4.0,4.367790293292617,147286.24408147836,1.4728624408147837,33720.99716134678
R1243zf,-2.0,4.682533387527904,148625.2686066476,1.486252686066476,31740.354271155084
R1243zf,0.0,5.033851870744158,149959.40918751658,1.4995940918751658,29790.191097805975
R1243zf,2.0,5.428394259405919,151288.1785364231,1.5128817853642311,27869.784563691588
R1243zf,4.0,5.874525132273408,152611.06842578782,1.5261106842578782,25978.45187305007
R1243zf,6.0,6.382916907789538,153927.54792692463,1.5392754792692462,24115.549387628038
R1243zf,8.0,6.967404638116966,155237.06152157558,1.552370615215756,22280.471651138447
R1243zf,10.0,7.646251109620507,156539.0270674895,1.565390270674895,20472.650560813025
